Date,Open,High,Low,Close*,Adj Close**,Volume,ATR_14,EMA_10,RSI_14
2023-02-13,33887.39,34249.6,33887.39,34245.93,34245.93,302600000,469.7757142857164,33636.03828989087,63.29480051841364
2023-02-10,33671.54,33897.31,33591.99,33869.27,33869.27,288150000,486.26928571428806,33678.44405536525,57.035106401755485
2023-02-09,34105.61,34252.57,33607.13,33699.88,33699.88,347520000,480.5778571428595,33682.3414998443,60.943555763711714
2023-02-08,34132.9,34161.65,33899.79,33949.01,33949.01,324090000,477.6428571428597,33730.826681690785,70.83628758373052
2023-02-07,33769.78,34240.0,33634.1,34156.69,34156.69,361620000,503.9900000000026,33808.256375928824,72.78712731404798
2023-02-06,33874.44,33962.84,33683.58,33891.02,33891.02,296400000,499.74214285714567,33823.304307578124,65.06847460889894
2023-02-03,33926.3,34179.58,33813.86,33926.01,33926.01,425150000,500.4571428571456,33841.978069836645,66.8687507794888
2023-02-02,34129.3,34145.14,33814.78,34053.94,34053.94,429910000,490.0021428571454,33880.51660259362,64.61870807413037
2023-02-01,34039.6,34334.7,33581.42,34092.96,34092.96,370120000,522.5435714285735,33919.142674849325,67.41486762726211
2023-01-31,33803.56,34095.23,33664.91,34086.04,34086.04,360240000,506.5235714285731,33949.487643058535,66.31627072266164
2023-01-30,33909.21,34055.29,33695.18,33717.09,33717.09,343920000,483.22428571428725,33907.2335261388,47.89459125102765
2023-01-27,33952.93,34164.33,33830.85,33978.08,33978.08,441260000,489.84357142857283,33920.11470320447,55.14325321784803
2023-01-26,33771.66,33953.79,33635.6,33949.41,33949.41,327000000,483.3321428571445,33925.441120803654,46.168891328964136
2023-01-25,33538.36,33773.09,33273.21,33743.84,33743.84,341720000,495.63071428571595,33892.422735202985,43.086505245714044
2023-01-24,33444.72,33782.92,33310.56,33733.96,33733.96,299310000,503.4985714285732,33863.611328802435,39.11373833166779
2023-01-23,33439.56,33782.88,33316.25,33629.56,33629.56,355220000,490.1192857142872,33821.05654174744,44.235495553557
